cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
RECIFE,261160614A,2026-03-28 00:40:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,5.5089676623
RECIFE,261160609A,2026-03-28 00:00:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-03-28 00:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 00:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-03-28 00:30:00,10,-8.037,-34.884,Torreão,,4,PE,5.1550081631
RECIFE,261160618A,2026-03-28 00:40:00,10,-8.037,-34.884,Torreão,,4,PE,9.151091301
RECIFE,261160614A,2026-03-28 00:50:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.39268
RECIFE,261160614A,2026-03-28 01:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160614A,2026-03-28 01:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160618A,2026-03-28 00:50:00,10,-8.037,-34.884,Torreão,,4,PE,0.39268
RECIFE,261160618A,2026-03-28 01:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-03-28 01:20:00,10,-8.037,-34.884,Torreão,,4,PE,0.58902
RECIFE,261160618A,2026-03-28 01:30:00,10,-8.037,-34.884,Torreão,,4,PE,0.58902
RECIFE,261160609A,2026-03-28 01:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 02:00:00,10,-8.037,-34.884,Torreão,,4,PE,1.17804
RECIFE,261160614A,2026-03-28 02:20:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.5908379331
RECIFE,261160614A,2026-03-28 02:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,6.7190881713
RECIFE,261160614A,2026-03-28 02:40:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.39268
RECIFE,261160614A,2026-03-28 02:50:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160609A,2026-03-28 02:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 02:10:00,10,-8.037,-34.884,Torreão,,4,PE,0.39268
RECIFE,261160618A,2026-03-28 02:20:00,10,-8.037,-34.884,Torreão,,4,PE,2.9512555986
RECIFE,261160618A,2026-03-28 02:30:00,10,-8.037,-34.884,Torreão,,4,PE,12.0139838977
RECIFE,261160618A,2026-03-28 02:40:00,10,-8.037,-34.884,Torreão,,4,PE,0.78536
RECIFE,261160618A,2026-03-28 02:50:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160614A,2026-03-28 03:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-03-28 03:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 03:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2026-03-28 04:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-03-28 04:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2026-03-28 04:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2026-03-28 04:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2026-03-28 05:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2026-03-28 05:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2026-03-28 05:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2026-03-28 06:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160614A,2026-03-28 06:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-03-28 06:40:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2026-03-28 07:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,7.6777497674
RECIFE,261160609A,2026-03-28 06:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 06:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-03-28 07:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-03-28 07:10:00,10,-8.037,-34.884,Torreão,,4,PE,5.596829828
RECIFE,261160614A,2026-03-28 07:20:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,9.1314591473
RECIFE,261160614A,2026-03-28 07:30:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.39268
RECIFE,261160609A,2026-03-28 07:30:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,2.9535393703
RECIFE,261160609A,2026-03-28 07:40:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,2.7540885872
RECIFE,261160609A,2026-03-28 07:50:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,3.3485681914
RECIFE,261160618A,2026-03-28 07:20:00,10,-8.037,-34.884,Torreão,,4,PE,8.1120109696
RECIFE,261160618A,2026-03-28 07:30:00,10,-8.037,-34.884,Torreão,,4,PE,5.7075359435
RECIFE,261160614A,2026-03-28 08:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-03-28 08:00:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,2.1640578908
RECIFE,261160609A,2026-03-28 08:10:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-03-28 08:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 08:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-03-28 09:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2026-03-28 09:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-03-28 09:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 10:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2026-03-28 10:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2026-03-28 10:30:00,10,-8.120975,-34.913983,Imbiribeira,,4,PE,0.2
RECIFE,261160609A,2026-03-28 10:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-03-28 11:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2026-03-28 11:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160614A,2026-03-28 12:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160614A,2026-03-28 13:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160609A,2026-03-28 11:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2026-03-28 12:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2026-03-28 13:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160618A,2026-03-28 12:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2026-03-28 13:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2026-03-28 14:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
